date_index,historical_date,monthly_date_index
0,2023-01-04,-1
1,2023-01-05,-1
2,2023-01-06,-1
3,2023-01-09,-1
4,2023-01-10,-1
5,2023-01-11,-1
6,2023-01-12,-1
7,2023-01-17,-1
8,2023-01-18,-1
9,2023-01-19,-1
10,2023-01-20,-1
11,2023-01-23,-1
12,2023-01-24,-1
13,2023-01-25,-1
14,2023-01-26,-1
15,2023-01-27,-1
16,2023-01-30,-1
17,2023-01-31,-1
18,2023-02-01,-1
19,2023-02-02,-1
20,2023-02-03,-1
21,2023-02-06,-1
22,2023-02-07,-1
23,2023-02-08,-1
24,2023-02-09,-1
25,2023-02-10,-1
26,2023-02-13,-1
27,2023-02-14,-1
28,2023-02-15,-1
29,2023-02-16,-1
30,2023-02-17,-1
31,2023-02-21,-1
32,2023-02-22,-1
33,2023-02-23,-1
34,2023-02-24,-1
35,2023-02-27,-1
36,2023-02-28,0
37,2023-03-01,-1
38,2023-03-02,-1
39,2023-03-03,-1
40,2023-03-06,-1
41,2023-03-07,-1
42,2023-03-08,-1
43,2023-03-09,-1
44,2023-03-10,-1
45,2023-03-13,-1
46,2023-03-14,-1
47,2023-03-15,-1
48,2023-03-16,-1
49,2023-03-17,-1
50,2023-03-20,-1
51,2023-03-21,-1
52,2023-03-22,-1
53,2023-03-23,-1
54,2023-03-27,-1
55,2023-03-28,-1
56,2023-03-29,-1
57,2023-03-30,-1
58,2023-03-31,1
59,2023-04-03,-1
60,2023-04-04,-1
61,2023-04-05,-1
62,2023-04-06,-1
63,2023-04-10,-1
64,2023-04-12,-1
65,2023-04-13,-1
66,2023-04-14,-1
67,2023-04-17,-1
68,2023-04-18,-1
69,2023-04-19,-1
70,2023-04-20,-1
71,2023-04-21,-1
72,2023-04-24,-1
73,2023-04-25,-1
74,2023-04-26,-1
75,2023-04-27,-1
76,2023-04-28,-1
77,2023-05-01,-1
78,2023-05-02,-1
79,2023-05-03,-1
80,2023-05-04,-1
81,2023-05-05,-1
82,2023-05-08,-1
83,2023-05-09,-1
84,2023-05-11,-1
85,2023-05-12,-1
86,2023-05-15,-1
87,2023-05-16,-1
88,2023-05-17,-1
89,2023-05-19,-1
90,2023-05-22,-1
91,2023-05-23,-1
92,2023-05-24,-1
93,2023-05-25,-1
94,2023-05-26,-1
95,2023-05-30,-1
96,2023-05-31,3
97,2023-06-01,-1
98,2023-06-02,-1
99,2023-06-05,-1
100,2023-06-06,-1
101,2023-06-07,-1
102,2023-06-08,-1
103,2023-06-09,-1
104,2023-06-12,-1
105,2023-06-13,-1
106,2023-06-14,-1
107,2023-06-15,-1
108,2023-06-16,-1
109,2023-06-20,-1
110,2023-06-21,-1
111,2023-06-23,-1
112,2023-06-26,-1
113,2023-06-27,-1
114,2023-06-28,-1
115,2023-06-29,-1
